customer_id,first_name,last_name,address,city,country,category_id,rating,total_amount
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,1,PG-13,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,1,R,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,2,NC-17,229.4
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,4,PG,229.4
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,4,PG-13,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,4,R,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,4,NC-17,229.4
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,5,PG,458.8
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,5,R,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,6,NC-17,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,7,PG,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,7,PG-13,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,7,NC-17,229.4
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,8,R,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,9,PG-13,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,10,R,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,12,NC-17,229.4
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,13,G,229.4
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,14,PG,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,14,PG-13,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,15,G,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,15,PG,114.7
1,Mary,Smith,1913 Hanoi Way,Sasebo,Japan,16,PG-13,114.7
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,1,PG-13,247.48
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,1,R,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,2,PG,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,2,PG-13,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,2,NC-17,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,3,R,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,4,G,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,4,PG-13,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,4,R,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,4,NC-17,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,6,PG,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,8,PG-13,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,9,PG-13,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,10,R,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,10,NC-17,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,12,PG,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,13,G,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,13,NC-17,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,14,PG,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,15,G,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,15,PG,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,15,PG-13,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,15,NC-17,247.48
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,16,G,123.74
2,Patricia,Johnson,1121 Loja Avenue,San Bernardino,United States,16,PG,123.74
3,Linda,Williams,692 Joliet Street,Athenai,Greece,1,G,392.28
3,Linda,Williams,692 Joliet Street,Athenai,Greece,1,NC-17,130.76
